,latitude,longitude,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors
13614,47.6272,-122.297,834000,3,2.25,2550,4089,2
13620,47.6439,-122.302,1160000,5,3.25,4290,7019,2.5
13623,47.6048,-122.298,518000,4,2.5,2320,4000,1.5
13641,47.6186,-122.288,915000,3,3.25,2660,4000,2
13674,47.6275,-122.308,1400000,4,2.25,3780,5160,2
13689,47.6295,-122.285,2885000,7,3,5350,14400,2.5
13729,47.6404,-122.325,920000,5,3,2230,4400,2
13734,47.6195,-122.299,640000,3,2.5,1620,1377,2
13754,47.627,-122.304,1500000,6,2.5,3560,6480,2.5
13760,47.6235,-122.298,750000,4,3.25,2050,5000,2
13774,47.6417,-122.325,675000,3,1.75,2130,4400,1
13789,47.6498,-122.32,810000,3,1.75,2060,3300,2
13830,47.6147,-122.298,427500,3,1,1480,4200,1.5
13841,47.6379,-122.311,2225000,3,4,4200,30120,2
13862,47.6167,-122.29,689888,4,2.25,1930,3500,1.5
13875,47.5971,-122.295,441000,5,2.5,2000,3600,1
13887,47.6352,-122.284,1625000,4,3.25,2980,3600,2
13902,47.6124,-122.293,655000,4,2.25,2170,4080,2
13907,47.6295,-122.306,1225000,6,2.25,2930,4320,2
13926,47.6343,-122.282,960000,3,1.75,2460,4800,1
13947,47.603,-122.289,783500,3,2.5,2850,7130,2
13994,47.5939,-122.299,321500,1,1,730,1942,1
14020,47.6188,-122.306,600000,2,1,910,2002,1.5
14022,47.6032,-122.311,546000,2,2.25,1530,1324,2
14025,47.6061,-122.286,765000,3,2,1570,7000,2
14040,47.5933,-122.308,450000,2,2,1730,4248,2
14088,47.605,-122.3,593000,5,2.5,2640,4400,1.5
14227,47.6393,-122.317,1045000,4,2.25,2630,4000,2
14281,47.606,-122.299,592500,4,1.5,2080,4400,1.5
14297,47.6206,-122.297,525000,3,2.5,1740,2350,2
14299,47.6005,-122.296,569500,4,1,1960,3194,2
14306,47.6192,-122.319,729000,3,1,1580,3840,2
14309,47.6178,-122.284,860000,3,2,2090,4190,1.5
14327,47.6367,-122.301,721000,2,1.5,1790,4250,1
14422,47.595,-122.308,435000,3,2,980,5000,1
14423,47.6038,-122.314,560000,4,1,1360,5814,1.5
14451,47.6084,-122.304,365000,2,1,680,4800,1
14466,47.6439,-122.319,952000,3,2.5,2450,4400,2
14497,47.6229,-122.298,605000,3,2.25,1290,2500,2
14527,47.6187,-122.299,638000,3,3.25,1720,1587,2.5
14539,47.6025,-122.294,599000,7,2.5,2580,5750,1
14596,47.6285,-122.309,1425000,5,3,2840,6240,2
14610,47.6031,-122.296,432500,6,2,3080,5500,2
14666,47.6027,-122.295,905000,4,2.25,2240,5000,2
14670,47.6034,-122.289,628000,4,2,2280,6010,1
14674,47.6348,-122.281,690000,3,1.75,1600,4400,1
14696,47.6197,-122.287,683000,5,1.5,1720,4000,1.5
14761,47.6393,-122.301,600000,2,1,1290,4636,1
14794,47.6264,-122.289,2200000,4,3.75,3790,7200,2
14833,47.5981,-122.288,725000,3,1.75,1860,6000,2
14855,47.6109,-122.303,480000,4,2.25,2520,2370,2
14921,47.6355,-122.324,550000,3,2.5,1550,1092,3
14925,47.6138,-122.298,493000,3,2.75,1720,6720,1
14965,47.6316,-122.282,1046250,2,3,2330,3600,2
15037,47.6117,-122.313,546000,4,3,1790,3600,1.5
15061,47.5925,-122.295,365000,2,1.5,820,1270,2
15101,47.5915,-122.295,352900,2,1.5,1240,1892,2
15137,47.628,-122.299,1047000,4,3.5,3500,4000,2
15263,47.6325,-122.29,1715000,4,2.5,3070,7207,2
15265,47.6205,-122.3,570000,2,2,1140,690,2
15266,47.6241,-122.305,680000,8,2.75,2530,4800,2
15275,47.616,-122.282,1850000,4,3.25,2910,1880,2
15334,47.6209,-122.302,700000,4,1.75,2420,520,1.5
15362,47.6401,-122.303,855000,5,1.5,1930,4500,1.5
15418,47.6148,-122.309,540000,3,2.5,1380,1021,2
15423,47.6264,-122.283,1300000,4,3.25,2330,9687,2
15538,47.6122,-122.288,850000,2,1.5,2210,5000,1
15573,47.6118,-122.284,765000,3,1.5,1500,5111,2
15588,47.6025,-122.31,505000,3,2.5,1995,1483,3
15599,47.6341,-122.284,1280000,4,3.5,3010,3600,2
15699,47.6308,-122.287,1925000,4,3.75,3600,16101,1
15704,47.6246,-122.312,780500,5,1,1760,4264,2
15794,47.5978,-122.299,261500,3,1,1130,3600,1
15819,47.6109,-122.302,550000,3,1.75,1380,3402,1.5
15838,47.6092,-122.294,847000,5,1,2550,4623,2.5
15874,47.6349,-122.318,1600000,3,2.25,3170,5000,2
15908,47.6226,-122.319,475000,3,2.5,950,1110,2
15911,47.6038,-122.294,890000,5,1,2590,4652,2
15923,47.6408,-122.307,575000,3,1.75,2010,3800,2
15933,47.6272,-122.318,1200000,4,2.5,2390,4200,2
15986,47.5999,-122.3,352750,2,1.75,1060,1241,2
16009,47.5955,-122.294,800000,2,1,1570,5000,1.5
16041,47.6078,-122.292,619500,3,2.5,1700,4105,2
16062,47.6414,-122.329,403950,2,1,710,1136,2
16082,47.6279,-122.287,1180500,3,1.75,1610,7200,1
16100,47.6453,-122.302,1000000,3,1,1880,5450,1.5
16142,47.6189,-122.286,1350000,4,3.5,3600,5217,2
16183,47.6285,-122.303,950000,3,1.75,2150,3503,2
16184,47.627,-122.303,799500,4,2.5,2760,5750,2
16229,47.6108,-122.303,590000,3,1,1530,2370,2
16247,47.638,-122.306,1049000,3,2.25,2610,3357,2
16272,47.6285,-122.304,2140000,6,4,5110,7128,2.5
16286,47.593,-122.293,500000,4,2,1680,3813,2
16305,47.6154,-122.291,890000,4,2.75,2310,4020,3
16388,47.6193,-122.304,540000,2,1.25,1230,1569,2
16410,47.5939,-122.302,364000,2,2.25,1280,2574,2
16422,47.6029,-122.307,425000,3,1,1280,3200,1.5
16436,47.6056,-122.311,835000,6,2,3560,5120,2.5
16477,47.6236,-122.299,610000,5,2.5,3990,3839,1
16487,47.6251,-122.3,427000,4,1,1860,4736,1.5
16496,47.6127,-122.286,1225000,5,2.25,3440,5000,2
16511,47.614,-122.294,720000,3,2.5,2100,2200,2
16520,47.6065,-122.291,730000,4,1.5,2340,5000,2
16581,47.6406,-122.317,670500,4,2,1590,6750,1
16617,47.6144,-122.283,845000,4,2.5,2390,5071,2
16638,47.6074,-122.305,350000,3,2,1380,3600,3
16683,47.6102,-122.296,590000,3,2,1860,3600,1.5
16713,47.6258,-122.312,1185000,3,2.75,2500,5568,2
16770,47.631,-122.303,1970000,8,3.5,4440,6480,2
16775,47.6275,-122.305,1457000,4,1.5,2650,6900,2
16820,47.5972,-122.292,775000,3,2,2540,7200,1.5
16821,47.6288,-122.282,2250000,3,4.25,5150,7800,2.5
16832,47.6204,-122.292,669000,3,1,1560,4500,1.5
16856,47.6374,-122.304,739000,3,1.75,2050,5160,1.5
16904,47.6321,-122.306,842500,3,2.25,2560,3996,1.5
16971,47.6358,-122.322,407500,2,1,770,2971,1
16991,47.5962,-122.301,395000,3,2,1500,2506,1
17017,47.6433,-122.3,1050000,3,2,2090,4077,1.5
17044,47.6368,-122.306,605000,2,1,1550,3200,1.5
17084,47.6094,-122.31,512500,3,3,2260,2400,2
17113,47.6451,-122.319,982218,3,1.75,2340,5500,2
17172,47.6244,-122.326,625000,3,2.75,2240,3600,2.5
17177,47.637,-122.324,800000,3,3,2060,3200,2
17191,47.5926,-122.3,345000,2,1.5,830,1034,2
17232,47.617,-122.288,1325000,3,2.25,2360,5504,2
17233,47.5922,-122.297,475000,3,1.75,1340,2805,1.5
17241,47.6086,-122.294,565000,4,2,1710,3875,1.5
17251,47.6051,-122.289,969500,3,3.25,2080,3025,2
17297,47.6373,-122.3,895000,4,2,1710,4178,1.5
17319,47.6398,-122.306,886000,4,2,2660,3900,1.5
17325,47.6308,-122.302,370000,2,1,1040,4172,1
17334,47.6095,-122.296,600000,3,2.25,1480,5400,2
17335,47.5945,-122.291,570000,3,2,1640,2808,1
17349,47.6458,-122.306,700000,4,1,1470,5450,1.5
17416,47.5998,-122.312,397500,3,2.25,1350,980,2
17418,47.6162,-122.288,1190000,3,3.5,3380,3333,3
17490,47.6275,-122.315,1990000,5,3,4480,5000,2.5
17498,47.6038,-122.303,715000,3,1,1610,7680,1
17504,47.6177,-122.308,742000,3,3.25,1540,704,3
17559,47.5929,-122.303,435000,4,2,1880,3840,1
17568,47.5943,-122.302,390000,2,1,930,3100,1
17690,47.6301,-122.301,1385000,3,2.25,2930,6000,2
17717,47.6183,-122.3,581000,4,1,1630,2566,1.5
17721,47.6123,-122.314,591000,3,2,1460,3600,2
17781,47.6394,-122.308,715000,5,1.75,1920,6500,1
17799,47.5968,-122.29,881000,5,3,2510,4125,1.5
17808,47.6263,-122.284,2920000,4,4.75,4575,24085,2.5
17853,47.636,-122.301,952500,4,1.5,2550,5055,2
17856,47.6426,-122.327,1050000,3,2.5,2200,1970,2
17865,47.6222,-122.287,718500,3,1.5,1200,6240,1
17886,47.6133,-122.308,685000,2,1.5,1300,1676,1
17902,47.6401,-122.299,1062500,4,2.75,1590,6000,1.5
17915,47.6007,-122.305,380000,2,2.5,1230,987,2
17951,47.6263,-122.314,3300000,8,4,7710,11750,3.5
17959,47.6204,-122.296,529000,3,2,1530,3400,1
17984,47.5963,-122.292,1137500,4,3.5,3160,4200,2
18007,47.6192,-122.307,770000,4,3.5,3680,2242,2.5
18030,47.6199,-122.304,574000,2,2.25,1100,1114,2
18039,47.6111,-122.308,651000,3,3,2260,1834,2
18072,47.6168,-122.298,815000,4,2,1400,4800,2
18094,47.6342,-122.282,1600000,4,3.5,3890,3600,2
18097,47.6292,-122.312,1325000,4,3.25,2850,4800,2.5
18098,47.6093,-122.297,710000,4,2.75,2460,3600,2
18104,47.6118,-122.299,517000,2,1.5,1920,3408,1
18111,47.6059,-122.313,575000,1,1,1310,8667,1.5
18121,47.6019,-122.29,1388000,3,1.25,2400,6653,3
18228,47.6465,-122.319,2147500,3,3.5,4660,5500,2
18239,47.6054,-122.295,740000,3,3.5,2420,4000,2
18240,47.6059,-122.303,415000,1,1,760,3000,1
18243,47.6071,-122.285,676500,3,1.75,1300,2446,1
18391,47.6058,-122.319,350000,2,1.5,830,1077,2
18407,47.6466,-122.321,950000,5,2,2940,5500,2
18452,47.6351,-122.285,940000,4,1.5,2430,3600,2.5
18477,47.6185,-122.295,295000,2,1,650,5400,1
18533,47.6075,-122.295,774900,5,1,1750,3861,1.5
18578,47.6115,-122.287,1028950,5,3.25,2680,3011,2
18632,47.6059,-122.31,345600,5,3.5,2800,5120,2.5
18638,47.6304,-122.309,1003000,4,2.5,2230,3600,2
18642,47.6239,-122.297,699999,3,0.75,1240,4000,1
18656,47.6278,-122.292,900000,3,2.5,2320,5000,2
18728,47.6004,-122.292,675000,3,2.25,1780,4252,2
18730,47.6088,-122.294,675000,3,2,1510,3817,1.5
18731,47.5928,-122.295,546000,4,2.5,2100,1397,3
18735,47.6207,-122.297,585000,3,2.5,1740,2350,2
18940,47.6135,-122.297,525000,2,1,1510,3360,1
18958,47.6067,-122.298,415000,3,1.75,1470,4000,1
18991,47.5926,-122.299,373000,3,2,1400,2445,1
19003,47.6288,-122.3,450000,2,1,950,4560,1.5
19026,47.62,-122.3,500000,3,2.5,1480,1171,3
19028,47.6156,-122.295,812000,3,2.5,2040,4559,2
19081,47.6262,-122.323,1450000,4,3.5,2860,2199,3
19088,47.6032,-122.308,386180,2,1.5,960,1829,2
19102,47.6004,-122.299,349000,2,1.75,1250,1208,2
19118,47.62,-122.309,675000,3,3.25,1720,1330,2
19150,47.6175,-122.297,299000,2,1.5,830,1276,2
19161,47.5959,-122.298,379900,2,1.5,1240,1331,2
19170,47.626,-122.323,2250000,3,3.25,3890,3452,2
19214,47.6047,-122.305,455000,3,1.75,1320,1014,3
19233,47.6179,-122.301,730000,3,2.5,1860,1290,2
19291,47.5924,-122.299,310000,1,1.5,1120,912,3
19309,47.6073,-122.304,615000,3,2.25,1760,1146,3
19317,47.6166,-122.291,1262000,2,3,2210,3917,2
19332,47.6192,-122.297,360000,2,1,880,1165,2
19333,47.6248,-122.29,1595000,4,4.25,4645,7757,2
19362,47.6256,-122.299,950000,3,2.5,2280,2296,3
19386,47.6207,-122.301,495000,2,2.25,1160,1010,2
19393,47.6173,-122.31,685000,3,2.25,1710,1193,2
19410,47.6196,-122.297,759000,3,2.25,1640,1873,3
19431,47.6161,-122.302,555000,2,1.5,1190,1361,2
19437,47.6427,-122.327,527500,3,2.5,1380,1389,3
19442,47.644,-122.327,975000,3,2.5,1660,1344,3
19491,47.6413,-122.329,399950,2,1,710,1131,2
19504,47.6127,-122.299,547500,3,3.25,1720,1977,2
19592,47.6179,-122.318,640000,2,2.25,1540,958,3
19600,47.6396,-122.329,659000,2,1.75,1180,904,2
19610,47.6181,-122.301,515000,3,2.5,1510,1178,2
19625,47.6226,-122.313,735000,3,2.25,1490,1212,2
19634,47.6239,-122.29,1333000,4,4.5,3130,5126,3
19640,47.5999,-122.286,1050000,2,2.5,2350,2390,3
19654,47.6168,-122.314,625000,2,2.25,1390,916,2
19689,47.618,-122.311,520000,2,1.75,1340,1368,2
19692,47.6172,-122.31,665000,3,2.25,1590,929,2
19696,47.5929,-122.308,500000,3,1.75,1530,825,3
19722,47.5917,-122.295,340000,2,1.5,1160,1438,2
19739,47.6187,-122.301,359950,2,1.5,893,965,2
19750,47.6356,-122.281,1800000,4,3.5,3480,4000,2
19805,47.6206,-122.299,525000,3,2.5,1580,1161,2
19818,47.612,-122.295,405000,2,2,1405,1073,2
19819,47.5998,-122.311,356999,3,1.5,1010,1546,2
19841,47.6395,-122.329,664950,2,1.75,1180,900,2
19853,47.6018,-122.297,465000,3,2.25,1530,1245,2
19856,47.6178,-122.29,920000,4,3.25,2190,4265,2
19884,47.602,-122.308,459000,2,2,1480,804,3
19886,47.6376,-122.326,584000,3,2.5,1480,1485,2
19888,47.6369,-122.327,505000,2,2.25,1060,1209,2
19889,47.5925,-122.302,565000,2,2.5,1950,2457,3
19895,47.6006,-122.305,441000,2,1,1290,1289,2
19925,47.6114,-122.31,552500,3,1.5,1300,1435,2
19940,47.6372,-122.324,653500,2,2.5,1680,1240,2
19968,47.6206,-122.3,610000,2,2,1210,740,2
20028,47.6371,-122.327,499950,2,2.25,1060,1208,2
20029,47.5934,-122.298,502000,3,2.5,1600,3073,3
20030,47.6179,-122.312,654000,3,3.25,1530,1565,2
20048,47.6034,-122.309,530000,3,3.5,1550,1233,2
20050,47.5973,-122.298,515000,3,3,2100,2409,2
20103,47.6298,-122.321,650000,3,2.75,1540,1251,2
20116,47.6023,-122.314,411000,2,2,1130,1148,2
20122,47.6205,-122.299,699999,2,2,1460,1085,2
20123,47.6088,-122.311,749950,3,2.5,2010,2263,2
20156,47.593,-122.291,1900000,4,2.5,3070,7830,2
20179,47.5943,-122.299,325000,1,1,730,1942,1
20180,47.6264,-122.323,690000,2,2.5,1990,1756,3
20206,47.6181,-122.318,640000,2,2.25,1540,965,3
20232,47.6031,-122.309,526000,3,2.5,1626,1583,2.5
20243,47.6236,-122.318,630000,3,3.25,1610,1275,2
20247,47.6051,-122.304,490000,3,2.25,1620,1062,3
20255,47.6198,-122.289,1300000,4,2.25,2360,4000,2
20267,47.602,-122.311,549900,3,2,1280,960,2
20269,47.6022,-122.311,492000,3,2.5,1690,1479,3
20276,47.5951,-122.301,230000,3,1.5,1040,1264,2
20311,47.6076,-122.304,521500,3,2.25,1450,1619,2
20320,47.602,-122.306,450000,2,1.5,1530,1012,2
20337,47.5924,-122.295,370000,2,1,780,1133,2
20349,47.6033,-122.309,397500,3,2.5,1470,1256,2
20367,47.6271,-122.324,1080000,3,2.5,1990,1891,3
20393,47.6201,-122.309,649000,3,3.25,1720,936,2
20481,47.6434,-122.324,720000,3,1.75,1370,1990,3
20491,47.6112,-122.309,500000,2,2.5,1310,1500,2
20493,47.6126,-122.313,552100,3,3,1330,1379,2
20502,47.5914,-122.295,374000,2,1.5,1260,1575,2
20519,47.592,-122.293,620000,3,1.75,1458,858,2
20587,47.6221,-122.29,1698000,4,3.5,3950,6240,2
20597,47.616,-122.314,353000,1,1,550,1279,2
20675,47.6113,-122.314,729999,2,2.25,1630,1686,2
20702,47.6093,-122.31,375000,2,2.5,750,1430,2
20707,47.593,-122.295,400000,3,2.5,1495,936,3
20726,47.5923,-122.296,449000,2,2.5,1460,1296,2
20767,47.6021,-122.294,585000,3,2.5,1750,1381,3
20785,47.6228,-122.307,516500,1,1.25,1100,638,3
20830,47.5944,-122.299,402101,2,0.75,1020,1350,2
20831,47.5941,-122.299,325000,2,0.75,1020,1076,2
