,latitude,longitude,price,minimum_nights,number_of_reviews,reviews_per_month,host_listings_count,availability_365
29328,40.80986,-73.9214,140,2,57,3.58,1,73
29346,40.87396,-73.87785,26,30,24,1.39,1,303
29388,40.86665,-73.8954,80,3,26,1.68,1,15
29395,40.85419,-73.89827,40,2,15,0.83,1,220
29406,40.88435,-73.90305,145,2,14,0.77,1,332
29512,40.81943,-73.90224,80,2,9,0.65,1,0
29584,40.81961,-73.90019,40,5,45,2.51,1,266
29591,40.81978,-73.88743,45,2,0,0,1,0
29655,40.80906,-73.92031,150,1,9,0.72,1,168
29682,40.88007,-73.87326,50,5,4,0.26,2,324
29730,40.86664,-73.89844,70,1,26,5.23,1,0
29900,40.85407,-73.83264,69,3,69,4.21,1,21
29914,40.84934,-73.83345,119,3,28,1.68,1,351
29928,40.85929,-73.84229,60,3,41,2.44,1,23
30002,40.87906,-73.85987,35,3,0,0,4,0
30003,40.88049,-73.8613,41,3,1,0.06,4,0
30005,40.8805,-73.86178,45,1,1,0.06,4,0
30008,40.8987,-73.86389,29,1,81,4.93,4,192
30027,40.8273,-73.88906,37,1,7,0.41,2,0
30030,40.84882,-73.90263,80,3,20,1.18,2,36
30035,40.85662,-73.89797,65,2,5,0.3,1,0
30055,40.86578,-73.86534,250,2,22,1.44,5,361
30073,40.84718,-73.91378,20,1,9,0.53,1,0
30131,40.83168,-73.91977,47,5,33,1.96,1,176
30147,40.8315,-73.92047,54,1,16,0.99,1,69
30175,40.86918,-73.8905,34,1,2,0.12,2,5
30201,40.85655,-73.90377,73,2,31,1.83,2,39
30362,40.843,-73.84806,65,2,2,0.13,2,135
30404,40.83452,-73.93143,80,2,32,2.07,3,17
30406,40.83593,-73.93004,80,2,29,1.81,3,17
30438,40.87993,-73.87195,50,3,18,1.16,2,326
30488,40.87021,-73.86095,85,2,83,5.19,1,329
30512,40.86737,-73.89415,47,3,14,0.89,1,197
30517,40.83604,-73.93099,240,1,22,1.4,3,1
30579,40.89873,-73.86449,34,1,122,8.24,4,5
30602,40.88316,-73.91151,360,2,8,0.51,1,71
30607,40.88455,-73.86587,26,1,10,0.67,1,312
30647,40.82434,-73.91377,40,2,80,5.01,2,291
30679,40.83086,-73.92025,57,1,6,0.42,3,220
30708,40.89691,-73.85121,69,21,11,0.75,4,343
30709,40.83218,-73.91951,47,5,61,3.8,1,130
30819,40.87257,-73.9009,65,1,2,0.21,4,364
30820,40.87287,-73.90157,65,2,0,0,4,365
30847,40.85989,-73.91189,60,2,7,0.46,2,156
30880,40.84857,-73.85976,190,1,19,1.47,3,8
30921,40.82434,-73.88705,44,20,0,0,2,0
31014,40.80863,-73.92121,50,1,33,2.14,4,75
31048,40.88004,-73.9,79,3,45,3,4,59
31069,40.86615,-73.84185,35,1,6,0.4,4,0
31076,40.81952,-73.92844,95,2,37,2.89,1,193
31085,40.86286,-73.9024,35,2,24,1.56,2,365
31103,40.83252,-73.89811,40,1,0,0,1,83
31203,40.84197,-73.91292,25,2,2,0.14,1,0
31279,40.83216,-73.91598,70,3,3,0.4,1,178
31297,40.87997,-73.90035,65,3,54,3.69,4,64
31298,40.88068,-73.90012,79,3,55,3.68,4,63
31314,40.89641,-73.85077,88,5,8,0.61,4,322
31413,40.83139,-73.90166,23,2,18,1.25,1,36
31483,40.84367,-73.84911,65,2,11,1.11,2,158
31573,40.81011,-73.92166,125,3,62,4.34,1,253
31581,40.88634,-73.83431,75,3,19,1.55,3,166
31658,40.81862,-73.8791,40,1,26,1.82,1,141
31665,40.87816,-73.87213,125,3,20,1.4,1,281
31676,40.88764,-73.8558,100,2,38,2.66,1,107
31717,40.84059,-73.92156,150,1,4,0.28,1,0
31769,40.88764,-73.90449,50,1,28,2.47,1,73
31784,40.82601,-73.81907,50,3,19,1.36,4,8
31800,40.81437,-73.82774,74,2,37,2.63,4,70
31813,40.86778,-73.85491,45,1,38,2.7,1,85
31837,40.82696,-73.81927,40,4,34,2.54,4,37
31888,40.83088,-73.92779,103,2,40,2.84,1,248
32010,40.83413,-73.92918,50,3,23,1.64,1,188
32021,40.8801,-73.89709,46,1,68,4.89,1,63
32022,40.83688,-73.85584,80,2,6,0.44,1,0
32056,40.88485,-73.89756,399,2,25,1.79,1,356
32105,40.83022,-73.83286,90,2,1,0.11,1,35
32250,40.82617,-73.82073,74,3,23,1.77,4,58
32278,40.86681,-73.84073,86,2,41,3.18,1,111
32315,40.87579,-73.86532,33,3,1,0.09,1,365
32331,40.85519,-73.82932,195,2,2,0.19,3,313
32348,40.86273,-73.83715,80,2,70,5.34,1,142
32359,40.87901,-73.90155,45,30,1,0.09,2,193
32396,40.89124,-73.83423,149,2,59,4.33,1,328
32437,40.8156,-73.90075,60,1,9,0.76,2,257
32498,40.81668,-73.89988,35,1,38,2.82,2,75
32499,40.90329,-73.89991,105,2,27,2.13,1,328
32505,40.83464,-73.92505,70,2,2,0.17,1,348
32510,40.8901,-73.84031,125,1,11,0.88,1,189
32554,40.85548,-73.85585,125,1,76,6.02,1,72
32618,40.82936,-73.90867,150,1,26,3.15,1,175
32619,40.87077,-73.8817,33,2,8,0.71,1,6
32781,40.84787,-73.86177,107,1,47,3.63,3,8
32784,40.84778,-73.86146,150,1,29,2.23,3,24
32797,40.84346,-73.91151,35,1,49,3.84,1,168
32853,40.82257,-73.83773,100,2,23,1.84,1,89
32878,40.85801,-73.88247,21,1,9,0.7,2,0
32886,40.8084,-73.92037,115,2,36,3.12,1,114
32955,40.88058,-73.90552,85,2,13,1.05,1,0
32972,40.88723,-73.86351,45,1,4,0.31,1,365
32977,40.86259,-73.90359,65,1,2,0.19,2,0
33058,40.86113,-73.91511,100,5,1,0.08,1,11
33096,40.85104,-73.78573,110,2,25,2.18,1,171
33125,40.82848,-73.85466,85,2,68,5.37,1,247
33126,40.83193,-73.92223,40,1,29,2.47,2,360
33128,40.89374,-73.85579,60,2,10,0.85,1,365
33139,40.82753,-73.92463,200,1,0,0,2,365
33141,40.82714,-73.92528,200,1,0,0,2,179
33183,40.85609,-73.88391,30,1,9,0.71,2,0
33250,40.8616,-73.86227,142,2,31,2.5,5,312
33304,40.85456,-73.86921,79,2,36,3.33,1,10
33321,40.84879,-73.78987,125,2,23,1.89,1,155
33486,40.86255,-73.90669,80,3,52,4.79,2,0
33515,40.81309,-73.85367,70,1,3,0.47,7,360
33519,40.81225,-73.85502,80,1,4,1.48,7,365
33550,40.85978,-73.8619,142,1,29,2.47,5,48
33553,40.86017,-73.86198,142,1,36,3.5,5,57
33563,40.86239,-73.84362,99,1,67,6.07,1,337
33567,40.86014,-73.86301,142,1,30,2.56,5,48
33569,40.86013,-73.86339,142,1,30,2.56,5,57
33583,40.84835,-73.9141,149,1,1,0.09,1,0
33620,40.84171,-73.91159,150,1,0,0,1,363
33641,40.83791,-73.85845,26,1,14,1.24,2,311
33643,40.81639,-73.81954,60,1,13,1.09,1,35
33651,40.86153,-73.83656,102,1,50,4.19,1,349
33740,40.86659,-73.866,34,2,0,0,1,0
33771,40.8612,-73.91065,150,1,6,0.53,1,191
33790,40.89245,-73.83721,42,1,32,2.74,1,32
33829,40.82823,-73.90114,150,2,0,0,1,0
33849,40.81518,-73.84758,62,3,32,2.79,1,42
33918,40.83224,-73.92068,38,5,6,0.52,1,188
33957,40.83285,-73.92158,45,1,43,3.66,1,205
34033,40.83201,-73.89996,140,2,3,0.27,1,27
34074,40.8212,-73.92859,80,3,40,3.79,2,280
34092,40.85322,-73.85144,75,5,6,0.55,5,29
34158,40.8859,-73.83517,95,3,5,0.66,3,311
34209,40.82855,-73.91856,47,1,9,0.82,2,332
34287,40.82445,-73.90341,90,2,1,0.09,3,0
34320,40.89382,-73.84844,75,30,7,0.69,2,188
34381,40.81192,-73.91781,132,1,44,3.91,1,103
34420,40.88878,-73.86349,60,1,1,0.17,1,269
34446,40.83454,-73.92751,10,1,0,0,1,180
34458,40.81822,-73.90812,35,5,8,0.77,2,179
34470,40.87015,-73.85582,75,4,35,3.13,1,169
34499,40.86299,-73.89088,75,2,14,1.26,1,210
34561,40.81872,-73.90014,75,7,0,0,1,0
34709,40.88017,-73.83574,475,2,0,0,13,359
34731,40.83658,-73.86181,55,1,32,2.96,1,333
34747,40.88445,-73.89663,50,1,1,0.21,1,61
34866,40.82972,-73.84957,60,1,0,0,1,268
34891,40.863,-73.90661,80,3,24,2.91,2,72
34905,40.82248,-73.89915,50,1,13,1.26,1,280
34942,40.8358,-73.85833,65,2,4,0.39,2,0
34954,40.88354,-73.89061,85,3,0,0,1,89
34969,40.87886,-73.84301,69,3,9,0.87,2,311
35011,40.8773,-73.84329,53,3,12,1.2,2,356
35017,40.8546,-73.86785,50,1,24,2.24,1,163
35034,40.83581,-73.85864,65,2,3,0.29,2,0
35075,40.83148,-73.82931,65,1,23,2.18,5,365
35085,40.82952,-73.82818,140,1,31,3.01,5,365
35118,40.87633,-73.88328,45,1,18,1.93,1,153
35119,40.84633,-73.83029,80,2,28,2.69,1,78
35193,40.88563,-73.85975,50,2,40,3.77,1,0
35198,40.87135,-73.85736,145,2,5,0.48,5,0
35241,40.83729,-73.83323,69,1,2,0.19,5,330
35356,40.88271,-73.83217,50,1,0,0,1,88
35383,40.87675,-73.86372,280,2,32,3.09,3,344
35402,40.80769,-73.91617,130,1,38,3.68,1,349
35406,40.83703,-73.91643,40,2,32,3.08,2,132
35423,40.80644,-73.8518,48,2,33,3.21,1,47
35434,40.8106,-73.91667,68,1,16,1.55,1,347
35497,40.83659,-73.91777,40,1,1,0.11,2,8
35531,40.85409,-73.85032,50,5,8,0.87,5,22
35532,40.85361,-73.85018,85,5,5,0.49,5,365
35540,40.85287,-73.88536,100,3,36,3.69,2,49
35581,40.82145,-73.92856,102,2,24,2.76,2,288
35609,40.81161,-73.90513,35,1,24,2.38,1,150
35635,40.8102,-73.93147,28,1,18,1.93,7,60
35653,40.84184,-73.84967,28,1,26,2.65,2,123
35694,40.80952,-73.93005,28,1,17,1.79,7,83
35697,40.80994,-73.93061,28,1,29,3.09,7,89
35699,40.80977,-73.93038,28,1,16,1.7,7,0
35724,40.81072,-73.92031,55,1,32,3.31,4,76
35761,40.85536,-73.90242,55,1,3,0.31,1,83
35821,40.88688,-73.85848,37,1,14,1.42,3,332
35856,40.82228,-73.92783,45,1,28,3.07,1,161
35861,40.83088,-73.86492,42,2,23,2.54,3,109
35864,40.85267,-73.88627,50,2,51,5.17,1,325
35892,40.81232,-73.90299,100,3,0,0,2,364
35894,40.83739,-73.91118,26,1,20,2.07,1,3
35913,40.83988,-73.86978,300,1,0,0,1,365
35962,40.85362,-73.85011,65,5,0,0,5,365
35964,40.85105,-73.86049,60,2,20,2.29,3,208
36002,40.82718,-73.90241,90,2,58,6.8,1,301
36013,40.8289,-73.86219,87,1,54,5.61,1,326
36046,40.8878,-73.85372,47,2,13,1.62,1,347
36103,40.89399,-73.84279,65,1,52,5.4,3,363
36181,40.83413,-73.91669,35,1,15,3.88,1,70
36225,40.85661,-73.85281,40,1,2,0.23,1,88
36246,40.88805,-73.83248,90,15,0,0,1,89
36260,40.83285,-73.8879,60,1,22,2.4,1,279
36288,40.85324,-73.92143,240,1,0,0,1,363
36294,40.81377,-73.88933,40,30,3,0.36,6,321
36333,40.8546,-73.83026,299,2,1,0.58,3,1
36334,40.85413,-73.83065,125,2,7,0.99,3,301
36346,40.86777,-73.88397,90,1,2,0.22,1,362
36387,40.84802,-73.78963,84,2,31,3.38,1,166
36392,40.87704,-73.86276,80,30,0,0,1,0
36413,40.89502,-73.85071,75,7,3,0.63,4,242
36425,40.80861,-73.93015,100,1,25,2.81,1,39
36436,40.84084,-73.92178,48,2,0,0,1,0
36458,40.84605,-73.8493,39,5,0,0,2,0
36470,40.85336,-73.88549,65,3,26,2.83,2,46
36510,40.81322,-73.91696,42,5,7,1.08,4,321
36514,40.87072,-73.89974,65,2,0,0,4,364
36521,40.83144,-73.86639,38,2,11,1.29,3,188
36524,40.81017,-73.92266,79,2,2,0.23,1,88
36529,40.80958,-73.91895,120,1,29,3.15,4,312
36535,40.81102,-73.92778,81,4,5,0.62,1,0
36578,40.88453,-73.86273,80,2,20,2.2,1,188
36603,40.89385,-73.8448,80,3,6,0.71,1,0
36614,40.85791,-73.89528,39,2,24,2.73,1,211
36620,40.85765,-73.90351,48,2,18,2,2,34
36695,40.82132,-73.92884,100,3,24,3.44,2,187
36740,40.87448,-73.87412,200,1,13,6.61,1,0
36851,40.81819,-73.88653,150,2,5,0.57,1,0
36901,40.85449,-73.88437,100,1,3,1.84,1,319
36919,40.80504,-73.85327,300,1,1,0.11,1,364
36920,40.82598,-73.85203,90,7,0,0,1,180
36969,40.89753,-73.87359,50,1,6,0.71,1,0
36983,40.83007,-73.92251,45,3,19,2.27,1,67
37202,40.83217,-73.93148,45,5,15,2.1,1,123
37279,40.87831,-73.86511,350,2,3,0.41,3,323
37352,40.82773,-73.92308,100,1,2,0.26,1,177
37385,40.86923,-73.86275,90,5,1,0.16,1,157
37453,40.885,-73.83518,75,3,1,0.13,3,311
37463,40.81177,-73.92726,60,1,29,3.54,2,304
37562,40.8114,-73.92747,60,1,48,6.96,2,296
37564,40.86116,-73.86248,55,3,26,3.36,1,349
37567,40.81,-73.92654,65,1,35,4.32,1,295
37658,40.89429,-73.84392,49,1,26,3.21,3,363
37661,40.894,-73.84362,130,1,11,1.45,3,363
37681,40.88071,-73.92074,60,3,8,1.11,1,326
37705,40.85504,-73.88394,24,1,4,0.52,1,0
37742,40.83213,-73.90736,50,6,0,0,1,179
37746,40.83872,-73.87149,45,7,0,0,1,280
37802,40.81167,-73.92729,55,1,38,4.75,2,301
37856,40.87,-73.90129,39,4,33,4.36,1,86
37877,40.84391,-73.83171,99,2,8,1.05,1,360
37880,40.8689,-73.88552,98,2,30,4.46,1,327
37922,40.87064,-73.8797,60,1,9,1.19,2,310
37988,40.86279,-73.83947,87,2,26,3.42,1,7
38118,40.88511,-73.90831,175,3,5,0.77,1,0
38160,40.86975,-73.84669,75,1,7,0.93,1,1
38169,40.89466,-73.89735,50,1,8,1.26,2,241
38194,40.83499,-73.91003,75,3,19,2.59,1,109
38239,40.83488,-73.91988,45,2,3,0.57,1,0
38241,40.80747,-73.92766,145,1,7,1.12,1,360
38378,40.86757,-73.8649,60,2,1,0.16,1,363
38380,40.85056,-73.78829,65,3,2,0.27,1,89
38433,40.84378,-73.84469,670,1,2,0.34,1,178
38538,40.87821,-73.86354,85,30,0,0,1,365
38563,40.88229,-73.84295,80,1,0,0,1,365
38576,40.87684,-73.86389,120,2,13,1.83,2,97
38593,40.86698,-73.85178,35,2,21,3.35,1,252
38963,40.83513,-73.91797,99,1,2,0.32,1,90
39095,40.82674,-73.91935,85,3,1,0.38,1,341
39107,40.85398,-73.86451,25,2,1,0.14,1,0
39256,40.84289,-73.88773,40,2,17,2.7,1,107
39270,40.82507,-73.8204,45,3,0,0,1,36
39381,40.85055,-73.90189,69,2,25,3.66,1,92
39614,40.81518,-73.82708,99,1,1,0.16,1,318
39624,40.83311,-73.9116,34,2,2,0.29,1,0
39757,40.84145,-73.91027,150,3,29,4.7,1,109
39800,40.81389,-73.88914,70,2,1,0.16,1,342
39805,40.84047,-73.87127,20,14,1,0.48,4,139
39808,40.87701,-73.86282,200,1,34,5.13,3,347
39810,40.85222,-73.89277,299,1,10,1.52,3,322
39856,40.86437,-73.86047,80,3,4,0.6,1,155
39894,40.88796,-73.90473,49,1,3,0.45,1,0
39914,40.83942,-73.87518,165,2,4,0.63,1,310
39926,40.84119,-73.87049,20,10,2,0.32,4,114
39962,40.84087,-73.8699,20,10,3,0.68,4,25
39996,40.85214,-73.90294,100,2,12,2.98,3,20
40034,40.83026,-73.89102,200,1,26,4.06,3,80
40110,40.8296,-73.88971,125,1,9,1.46,3,80
40135,40.81331,-73.92765,60,1,30,6.38,2,333
40175,40.81185,-73.91625,100,1,0,0,1,173
40178,40.85746,-73.79056,175,2,14,2.66,1,79
40223,40.81712,-73.9209,100,1,3,1.05,1,150
40231,40.84613,-73.91668,42,2,18,3.02,1,6
40245,40.82306,-73.90821,75,1,50,8.11,1,359
40268,40.88179,-73.83455,75,2,1,0.37,13,365
40284,40.86723,-73.84285,67,7,2,0.38,1,172
40315,40.8094,-73.93173,28,1,17,2.77,7,319
40362,40.83025,-73.89134,70,1,1,0.19,3,81
40390,40.8476,-73.90594,50,1,0,0,1,0
40402,40.82433,-73.91619,80,5,12,2.26,1,91
40406,40.83651,-73.92269,74,2,19,3.85,1,183
40489,40.85387,-73.89384,247,2,15,3.17,3,322
40502,40.8461,-73.90883,30,2,14,3.28,1,176
40537,40.84487,-73.90811,80,2,1,0.18,1,156
40620,40.81624,-73.9011,50,2,0,0,1,0
40636,40.85589,-73.85825,85,5,5,0.85,5,343
40666,40.80797,-73.92865,95,3,5,0.96,1,49
40694,40.88449,-73.86227,25,30,0,0,1,85
40713,40.84555,-73.86787,50,1,19,4.35,1,32
40714,40.82421,-73.917,99,2,11,1.94,1,107
40722,40.86906,-73.88753,200,2,1,1,1,32
40760,40.82121,-73.87764,65,7,0,0,1,90
40781,40.88009,-73.83456,68,2,0,0,13,364
40785,40.84381,-73.90827,80,2,0,0,1,321
40859,40.85929,-73.89165,99,2,1,0.25,2,0
40865,40.81132,-73.92037,115,3,19,3.41,1,228
40956,40.86643,-73.88895,65,2,7,1.28,3,110
40991,40.86566,-73.88748,65,2,6,1.18,3,77
41022,40.82688,-73.81899,40,3,11,2.06,1,0
41033,40.89682,-73.84318,41,1,0,0,1,163
41069,40.89702,-73.85723,289,2,14,2.96,2,356
41088,40.85646,-73.86813,50,1,14,2.96,1,206
41220,40.83108,-73.82951,50,1,11,2.41,5,365
41245,40.87905,-73.85243,76,2,14,2.98,2,300
41268,40.85538,-73.91081,40,1,0,0,1,0
41281,40.88344,-73.90301,45,1,14,2.86,1,347
41298,40.84994,-73.9066,148,3,7,1.74,1,358
41348,40.81098,-73.91814,65,2,15,3.26,1,51
41349,40.8154,-73.81551,75,3,0,0,1,90
41359,40.89156,-73.84197,65,1,0,0,1,89
41369,40.88316,-73.90586,30,4,8,1.76,2,0
41399,40.80707,-73.92974,200,5,1,0.67,1,0
41503,40.8474,-73.89612,50,1,7,1.54,1,158
41507,40.83099,-73.86951,35,2,10,2.1,1,6
41602,40.88805,-73.86451,65,1,0,0,1,0
41630,40.88474,-73.90321,27,30,0,0,37,0
41632,40.82671,-73.90643,159,2,7,2.26,1,118
41672,40.81694,-73.89627,60,1,8,1.97,1,308
41675,40.8149,-73.81545,125,3,1,1,1,365
41681,40.81894,-73.91418,49,2,2,2,1,0
41691,40.82095,-73.89522,100,2,0,0,1,179
41699,40.89308,-73.85076,41,7,2,0.58,1,357
41729,40.83619,-73.84916,52,4,1,0.22,1,0
41739,40.896,-73.89964,64,1,11,3.47,2,358
41769,40.84321,-73.83129,100,2,22,4.93,1,3
41938,40.82236,-73.90227,75,2,0,0,1,361
41945,40.80924,-73.85107,95,2,27,8.62,1,153
41958,40.85505,-73.89238,40,2,28,6.72,1,84
41978,40.81496,-73.92088,60,1,1,0.33,1,90
42000,40.83485,-73.85954,93,5,1,0.23,1,306
42115,40.88999,-73.86008,75,2,11,3.17,1,54
42127,40.84077,-73.8487,50,3,6,1.62,2,27
42219,40.87498,-73.85644,39,3,6,1.57,1,49
42225,40.83988,-73.78287,95,1,6,1.65,2,359
42237,40.8694,-73.84171,101,2,11,3.4,1,46
42240,40.84355,-73.91103,55,1,8,2.67,1,358
42242,40.85912,-73.89254,59,3,0,0,2,0
42249,40.83757,-73.8353,62,1,14,6.36,5,229
42250,40.83647,-73.83491,65,2,5,1.9,5,183
42252,40.8356,-73.83369,150,1,24,8.37,5,247
42265,40.88542,-73.86169,140,2,3,0.97,1,365
42274,40.89981,-73.86684,80,2,7,1.84,1,70
42284,40.89393,-73.8581,50,2,14,3.59,2,132
42286,40.89604,-73.85877,50,2,20,4.96,2,117
42346,40.81058,-73.9069,80,5,0,0,1,179
42391,40.80981,-73.92031,39,1,9,3.38,1,176
42395,40.82398,-73.90894,77,1,0,0,4,90
42396,40.82575,-73.90993,80,1,0,0,4,365
42400,40.82913,-73.92236,50,1,7,1.84,1,265
42424,40.82661,-73.8571,100,2,16,4.32,2,161
42430,40.80643,-73.92783,110,14,0,0,1,88
42443,40.8267,-73.85704,100,2,18,4.78,2,145
42445,40.81731,-73.89052,35,21,0,0,4,341
42486,40.81724,-73.88878,60,3,2,0.68,4,335
42491,40.8637,-73.89236,107,1,22,6.8,1,339
42504,40.88298,-73.8987,90,3,5,1.38,1,321
42520,40.84615,-73.91546,35,1,25,7.08,1,241
42651,40.8477,-73.90988,24,2,2,0.68,1,0
42661,40.89768,-73.87363,35,2,18,5.35,1,51
42695,40.8265,-73.87045,103,2,19,5.7,1,75
42735,40.84342,-73.83929,125,1,15,5.77,1,336
42760,40.90484,-73.84489,120,1,1,0.32,1,268
42775,40.84672,-73.90411,63,1,3,0.94,1,167
42782,40.89637,-73.8555,39,1,10,2.73,1,15
42784,40.8704,-73.90559,100,5,0,0,1,40
42890,40.87275,-73.87978,58,5,0,0,1,180
42902,40.83251,-73.91217,85,1,0,0,1,365
42924,40.80771,-73.85204,46,2,3,1.13,1,179
42958,40.86003,-73.86584,60,1,28,8.32,1,74
42967,40.85394,-73.89641,35,5,3,1.2,2,62
42994,40.86304,-73.84559,150,1,4,2.07,1,78
43041,40.8027,-73.91563,109,2,9,3.42,3,50
43053,40.84581,-73.8889,25,2,5,1.6,1,146
43072,40.8279,-73.90516,100,2,2,2,2,345
43166,40.83758,-73.85804,47,1,4,1.9,2,167
43168,40.85464,-73.8672,75,1,0,0,1,0
43194,40.80074,-73.91574,50,3,2,0.81,1,350
43237,40.88491,-73.85484,33,1,0,0,1,116
43250,40.86313,-73.90183,35,1,3,0.94,1,0
43296,40.86255,-73.90059,42,1,2,1.82,1,332
43302,40.87268,-73.85424,100,2,0,0,1,180
43332,40.89613,-73.85503,35,1,9,3.18,1,0
43348,40.80626,-73.85122,40,7,2,1.76,1,59
43366,40.86615,-73.88828,60,2,6,1.96,3,34
43433,40.83938,-73.85708,45,1,10,4.92,2,352
43449,40.87414,-73.88342,51,1,10,4.76,1,271
43458,40.88171,-73.85384,75,2,2,0.82,1,360
43510,40.82639,-73.90517,150,2,0,0,2,0
43564,40.82864,-73.87609,45,2,6,2.28,2,24
43604,40.8667,-73.89115,70,1,5,1.76,1,364
43619,40.86674,-73.8428,75,5,0,0,1,188
43662,40.80143,-73.91353,115,2,11,4.46,3,6
43666,40.80273,-73.91519,115,4,9,3.97,3,124
43684,40.87724,-73.85047,56,2,4,3.24,3,70
43685,40.82807,-73.82418,80,1,0,0,1,1
43764,40.90406,-73.86286,65,1,1,1,1,29
43768,40.83516,-73.86024,85,2,1,1,4,349
43806,40.86925,-73.89974,35,1,8,8,1,48
43839,40.83715,-73.83489,60,1,20,7.59,5,343
43899,40.81338,-73.85821,75,2,5,5,1,86
43925,40.83959,-73.78587,100,7,0,0,1,180
43950,40.83754,-73.85764,150,1,0,0,1,267
43957,40.89039,-73.83186,50,3,8,3.04,1,34
43989,40.82565,-73.91095,77,1,0,0,4,179
44018,40.85398,-73.88737,49,1,2,0.94,2,358
44022,40.8353,-73.85751,75,3,0,0,1,81
44056,40.8716,-73.89177,92,2,9,4.82,1,48
44117,40.81865,-73.93014,107,2,0,0,1,81
44136,40.83908,-73.86042,70,93,0,0,1,134
44261,40.83197,-73.9212,45,1,4,1.71,2,318
44305,40.87699,-73.85366,87,2,5,5,2,298
44333,40.85595,-73.88519,27,30,0,0,1,68
44442,40.86209,-73.84667,20,1,0,0,1,5
44448,40.81835,-73.91465,65,3,0,0,1,0
44498,40.82654,-73.90516,27,2,7,3.5,1,60
44499,40.83149,-73.92766,70,40,0,0,1,0
44535,40.81305,-73.91655,120,3,5,2.5,3,45
44589,40.81245,-73.91648,120,3,1,1,3,45
44632,40.81132,-73.91715,145,3,1,0.64,3,48
44671,40.84752,-73.92293,130,1,0,0,1,180
44710,40.81415,-73.88671,36,1,9,4.09,2,97
44762,40.81258,-73.88566,40,1,11,5.08,2,121
44788,40.85648,-73.88501,95,2,4,2.35,1,325
44812,40.81892,-73.8859,35,2,4,4,2,27
44842,40.83792,-73.85526,100,1,8,4.71,1,51
44849,40.8439,-73.78792,29,1,2,1.43,1,18
44858,40.89338,-73.84785,309,2,10,5.56,1,173
44872,40.80816,-73.93176,28,1,4,2.07,7,64
44873,40.88649,-73.85889,37,1,12,6.21,3,315
44880,40.80856,-73.93055,28,1,4,2.03,7,71
45032,40.86003,-73.89314,47,1,2,1.36,1,236
45067,40.82756,-73.8871,70,1,6,2.95,2,89
45097,40.83588,-73.85819,69,5,0,0,1,55
45121,40.86952,-73.89447,223,3,0,0,10,315
45135,40.82776,-73.87643,45,1,7,3.5,2,365
45141,40.83176,-73.9298,115,14,0,0,1,0
45153,40.81963,-73.90956,55,1,10,5.26,1,310
45187,40.84353,-73.91108,43,3,0,0,2,341
45250,40.85374,-73.86416,70,1,8,4.62,1,96
45260,40.83513,-73.91093,50,2,11,6.73,2,88
45262,40.83123,-73.82784,60,1,2,1.71,5,180
45266,40.83144,-73.82791,60,1,5,3.75,5,179
45295,40.82285,-73.90198,55,2,5,3.33,1,351
45302,40.83717,-73.85738,36,1,0,0,1,71
45335,40.87874,-73.84746,40,1,0,0,1,89
45389,40.80852,-73.9306,28,1,5,2.94,8,60
45393,40.80869,-73.9317,28,1,1,0.67,8,73
45399,40.80996,-73.93172,28,1,2,1.15,8,365
45401,40.80838,-73.93091,28,1,3,1.7,8,363
45404,40.85368,-73.90172,75,1,1,1,1,363
45410,40.88523,-73.91231,90,30,0,0,1,55
45439,40.80689,-73.91437,100,3,4,2.79,1,330
45450,40.82831,-73.88746,80,1,3,3,2,89
45457,40.85689,-73.9091,40,5,0,0,5,362
45477,40.81795,-73.91178,85,1,0,0,1,77
45478,40.80868,-73.93015,28,1,3,2.65,8,362
45502,40.80858,-73.93164,28,1,10,6.82,8,351
45552,40.828,-73.81275,100,3,1,1,1,336
45596,40.85251,-73.83254,55,2,0,0,1,89
45597,40.82504,-73.90918,80,1,0,0,4,365
45614,40.82936,-73.84854,75,1,1,0.68,1,365
45637,40.80464,-73.92575,125,14,0,0,1,365
45682,40.83616,-73.84638,75,1,5,3.95,1,355
45720,40.85413,-73.88387,55,1,0,0,1,236
45757,40.88798,-73.86474,35,1,5,3.13,1,62
45758,40.86997,-73.84867,36,2,2,2,4,81
45759,40.86958,-73.84872,38,2,1,1,4,90
45760,40.8688,-73.84726,120,2,0,0,4,84
45925,40.8718,-73.87699,73,1,0,0,1,180
45976,40.83207,-73.92068,42,2,0,0,1,326
46019,40.82374,-73.91555,59,2,2,2,1,0
46025,40.85539,-73.88769,69,1,3,3,2,359
46062,40.81869,-73.82233,99,2,3,3,1,120
46073,40.89323,-73.85215,160,2,0,0,1,364
46093,40.85743,-73.90233,22,1,1,0.83,1,11
46126,40.83894,-73.91158,34,2,0,0,1,9
46179,40.89701,-73.89778,109,2,1,1,1,192
46250,40.82888,-73.9045,70,2,1,1,1,90
46265,40.80828,-73.9319,28,1,2,2,8,88
46266,40.83466,-73.90278,100,3,0,0,1,365
46268,40.80844,-73.9316,60,1,0,0,8,89
46280,40.82788,-73.92604,88,3,3,3,1,241
46288,40.87846,-73.86311,140,2,4,4,2,358
46348,40.84268,-73.91007,40,1,0,0,1,188
46399,40.83898,-73.86492,55,1,0,0,1,364
46421,40.86871,-73.8474,40,2,0,0,4,90
46425,40.89147,-73.84747,196,2,0,0,1,173
46431,40.82778,-73.91516,75,3,2,2,1,253
46466,40.81203,-73.90779,50,2,3,3,1,8
46470,40.84607,-73.9071,55,91,0,0,1,364
